Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-10-09 15:00:00+02:00;3756,572265625;2025-10-09 20:00:00+02:00;3734,04248046875;2843,892807370548;5,687785614741096;Time exit (5 bars);11,368266931822408;14230,832303784562;Short;2;5;5
2025-10-10 04:00:00+02:00;3768,923583984375;2025-10-10 09:00:00+02:00;3735,937744140625;2846,1664607569123;5,692332921513825;Time exit (5 bars);19,217482560584713;14250,049786345147;Short;2;5;5
2025-10-10 11:00:00+02:00;3735,521728515625;2025-10-10 15:00:00+02:00;3773,9587754118265;2850,0099572690297;5,70001991453806;ATR stop;-35,02549955127974;14215,024286793867;Short;2;5;4
2025-10-10 16:00:00+02:00;3703,1103515625;2025-10-10 21:00:00+02:00;3446,7978515625;2843,0048573587733;5,686009714717547;Time exit (5 bars);191,09388969991963;14406,118176493786;Short;2;5;5
2025-10-11 05:00:00+02:00;3267,64111328125;2025-10-11 10:00:00+02:00;3289,222412109375;2881,2236352987575;5,762447270597515;Time exit (5 bars);-24,79163257840496;14381,326543915382;Short;2;5;5
2025-10-11 16:00:00+02:00;3281,73583984375;2025-10-11 21:00:00+02:00;3236,76513671875;2876,2653087830763;5,752530617566153;Time exit (5 bars);33,661876763918485;14414,988420679301;Short;2;5;5
2025-10-12 12:00:00+02:00;3291,0302734375;2025-10-12 16:00:00+02:00;3339,936372680057;2882,9976841358603;5,765995368271721;ATR stop;-48,60855807406513;14366,379862605236;Short;2;5;4
2025-10-16 07:00:00+02:00;3427,798095703125;2025-10-16 08:00:00+02:00;3470,545576515276;2873,275972521047;5,7465519450420945;ATR stop;-41,57868268148314;14324,801179923752;Short;2;5;1
2025-10-16 09:00:00+02:00;3435,418701171875;2025-10-16 12:00:00+02:00;3482,702635804807;2864,9602359847504;5,729920471969501;ATR stop;-45,162258800349235;14279,638921123404;Short;2;5;3
2025-10-17 07:00:00+02:00;3324,209716796875;2025-10-17 12:00:00+02:00;3185,323486328125;2855,9277842246806;5,711855568449361;Time exit (5 bars);113,609450315987;14393,248371439391;Short;2;5;5
